Nazwa,Znizka %,Cena,Cena pierwotna,Tagi,Opinie,% pozytywnych,AppID,Link
Schizo Dark,95,"1,99€","39,99€","Action, Hidden Object, Shooter, Horror",Very Positive,96,3505850,https://store.steampowered.com/app/3505850/Schizo_Dark/
Master of 4 Swords,95,"1,99€","39,99€","Adventure, Casual, Sports, Bullet Hell",Very Positive,94,3850520,https://store.steampowered.com/app/3850520/Master_of_4_Swords/
Roata Mai,95,"1,99€","39,99€","Adventure, Casual, Sports, Anime",Very Positive,94,3862690,https://store.steampowered.com/app/3862690/Roata_Mai/
Grab and Guts,95,"1,49€","29,99€","Spectacle fighter, Casual, Side Scroller, Shoot 'Em Up",Very Positive,94,3113780,https://store.steampowered.com/app/3113780/Grab_and_Guts/
TurboJoy,95,"1,99€","39,99€","Action, Adventure, Casual, Simulation",Very Positive,93,4162770,https://store.steampowered.com/app/4162770/TurboJoy/
Speed Vortex,95,"1,99€","39,99€","Strategy, Casual, Sports, Choices Matter",Very Positive,93,4164480,https://store.steampowered.com/app/4164480/Speed_Vortex/
Agent A: A puzzle in disguise,93,"1,17€","16,79€","Espionage, Wholesome, Escape Room, Puzzle",Overwhelmingly Positive,95,801480,https://store.steampowered.com/app/801480/Agent_A_A_puzzle_in_disguise/
Blue Estate The Game,92,"1,03€","12,99€","On-Rails Shooter, Action, Comedy, Quick-Time Events",Very Positive,92,305380,https://store.steampowered.com/app/305380/Blue_Estate_The_Game/
Attentat 1942,92,"0,71€","8,99€","Historical, Cinematic, Story Rich, World War II",Very Positive,92,676630,https://store.steampowered.com/app/676630/Attentat_1942/
DISTRAINT 2,91,"0,79€","8,79€","Psychological Horror, Horror, Story Rich, Atmospheric",Overwhelmingly Positive,95,743390,https://store.steampowered.com/app/743390/DISTRAINT_2/
Half-Life: Alyx - Final Hours,91,"0,73€","8,19€","Action, 2D, 3D, Singleplayer",Overwhelmingly Positive,95,1361700,https://store.steampowered.com/app/1361700/HalfLife_Alyx__Final_Hours/
Golden Krone Hotel,91,"0,89€","9,99€","Vampires, Traditional Roguelike, Turn-Based, Roguelike",Very Positive,95,497800,https://store.steampowered.com/app/497800/Golden_Krone_Hotel/
The Juicer,91,"0,97€","10,79€","Action, Indie, Psychological Horror, Shooter",Very Positive,95,400790,https://store.steampowered.com/app/400790/The_Juicer/
Sagrada,91,"0,73€","8,19€","Board Game, Tabletop, Strategy, Logic",Very Positive,94,965590,https://store.steampowered.com/app/965590/Sagrada/
ReThink | Evolved 2,91,"0,89€","9,99€","Puzzle, First-Person, Logic, Singleplayer",Very Positive,94,820600,https://store.steampowered.com/app/820600/ReThink__Evolved_2/
TOEM: A Photo Adventure,90,"1,95€","19,50€","Cozy, Wholesome, Puzzle, Adventure",Overwhelmingly Positive,99,1307580,https://store.steampowered.com/app/1307580/TOEM_A_Photo_Adventure/
The Binding of Isaac: Rebirth,90,"1,49€","14,99€","Action Roguelike, Roguelike, Indie, Replay Value",Overwhelmingly Positive,97,250900,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/
Hotline Miami,90,"0,97€","9,75€","Great Soundtrack, Violent, Action, Indie",Overwhelmingly Positive,96,219150,https://store.steampowered.com/app/219150/Hotline_Miami/
INSIDE,90,"2,29€","22,99€","2.5D, Puzzle Platformer, Atmospheric, Dark",Overwhelmingly Positive,96,304430,https://store.steampowered.com/app/304430/INSIDE/
Dishonored,90,"1,99€","19,99€","Stealth, First-Person, Assassins, Action",Overwhelmingly Positive,97,205100,https://store.steampowered.com/app/205100/Dishonored/
The Walking Dead,90,"1,47€","14,79€","Zombies, Story Rich, Adventure, Point & Click",Overwhelmingly Positive,97,207610,https://store.steampowered.com/app/207610/The_Walking_Dead/
